Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
TM35_000471130-t36_1-p1	TM35_000471130-t36_1-p1	5	4	3	TM35_000471130-t36_1-p1 | transcript=TM35_000471130-t36_1 | gene=TM35_000471130 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000047:33271-34194(-) | protein	1	5	4	3	30	24.8	20.2	31.045	307	307	0	26.633	3205500	5				808	292;1167;1929;2661;3907	True;False;True;True;True	296;1183;1954;2717;3978	357;1456;2400;3334;4895	639;2821;4641;6320;9344;9345	639;2821;4641;6320;9345		
TM35_000471140-t36_1-p1;TM35_001021040-t36_1-p1	TM35_000471140-t36_1-p1	4;1	4;1	4;1	TM35_000471140-t36_1-p1 | transcript=TM35_000471140-t36_1 | gene=TM35_000471140 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000047:35194-36045(-) | protein	2	4	4	4	18.3	18.3	18.3	29.205	284	284;316	0	27.569	8593200	6				809	771;3043;3765;3910	True;True;True;True	779;3103;3836;3981	952;3800;4730;4898	1756;1757;7188;9024;9349;9350	1756;7188;9024;9349		
TM35_000471190-t36_1-p1	TM35_000471190-t36_1-p1	4	2	2	TM35_000471190-t36_1-p1 | transcript=TM35_000471190-t36_1 | gene=TM35_000471190 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000047:44083-44979(-) | protein	1	4	2	2	19.1	13.8	13.8	29.906	298	298	0	18.108	1803500	5				810	68;533;1482;2812	True;False;False;True	69;538;1501;2868	87;638;1858;1859;3518;3519	163;1183;1184;3584;3585;3586;3587;3588;3589;6655;6656;6657;6658	163;1183;3586;6657		
TM35_000471200-t36_1-p1	TM35_000471200-t36_1-p1	5	5	4	TM35_000471200-t36_1-p1 | transcript=TM35_000471200-t36_1 | gene=TM35_000471200 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000047:45860-46924(-) | protein	1	5	5	4	35.9	35.9	33.6	36.456	354	354	0	54.491	6047500	16				811	349;1368;1752;2839;3527	True;True;True;True;True	353;1387;1773;2895;3593	422;1706;1707;2176;3552;4427	760;3239;3240;4182;4183;4184;4185;4186;4187;4188;4189;4190;6713;8415;8416;8417	760;3240;4186;6713;8417		
TM35_000471210-t36_1-p1	TM35_000471210-t36_1-p1	6	6	6	TM35_000471210-t36_1-p1 | transcript=TM35_000471210-t36_1 | gene=TM35_000471210 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000047:48467-49597(-) | protein	1	6	6	6	27.9	27.9	27.9	39.631	376	376	0	40.66	15242000	11				812	760;1475;1576;1701;1874;3169	True;True;True;True;True;True	768;1494;1596;1721;1898;3232	939;940;1850;1968;2114;2334;3974	1732;1733;1734;3560;3780;4073;4504;4505;4506;4507;7524	1732;3560;3780;4073;4506;7524		
TM35_000471230-t36_1-p1	TM35_000471230-t36_1-p1	1	1	1	TM35_000471230-t36_1-p1 | transcript=TM35_000471230-t36_1 | gene=TM35_000471230 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000047:52054-53046(-) | protein	1	1	1	1	5.8	5.8	5.8	34.634	330	330	0.0031873	6.0236	790520	2				813	1066	True	1080	1337	2585;2586	2585		
TM35_000471270-t36_1-p1	TM35_000471270-t36_1-p1	5	5	5	TM35_000471270-t36_1-p1 | transcript=TM35_000471270-t36_1 | gene=TM35_000471270 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000047:58154-58999(-) | protein	1	5	5	5	29.5	29.5	29.5	29.402	281	281	0	117.02	12735000	12				814	1597;2475;2641;2961;3845	True;True;True;True;True	1617;2526;2695;3019;3916	1992;1993;3097;3307;3698;4822	3815;3816;3817;3818;3819;5896;5897;6274;7000;7001;7002;9193	3819;5896;6274;7002;9193		
TM35_000471280-t36_1-p1	TM35_000471280-t36_1-p1	2	1	1	TM35_000471280-t36_1-p1 | transcript=TM35_000471280-t36_1 | gene=TM35_000471280 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000047:59689-60597(-) | protein	1	2	1	1	12.3	8.9	8.9	31.389	302	302	0	25.152	1930600	2				815	180;4006	True;False	183;4078	225;5013	417;418;9555;9556	418;9556		
TM35_000471290-t36_1-p1	TM35_000471290-t36_1-p1	4	2	2	TM35_000471290-t36_1-p1 | transcript=TM35_000471290-t36_1 | gene=TM35_000471290 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000047:64856-65653(-) | protein	1	4	2	2	37.6	16.5	16.5	26.071	266	266	0	16.759	1098300	3				816	541;1333;2705;3077	True;False;False;True	546;1352;2761;3137	648;1664;3383;3845	1200;1201;3173;6393;7286	1201;3173;6393;7286		
TM35_000471310-t36_1-p1	TM35_000471310-t36_1-p1	1	1	1	TM35_000471310-t36_1-p1 | transcript=TM35_000471310-t36_1 | gene=TM35_000471310 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000047:69313-70293(-) | protein	1	1	1	1	4	4	4	33.352	327	327	0.00080645	6.1339	3009900	1				817	4021	True	4093	5030	9590	9590		
TM35_000471320-t36_1-p1	TM35_000471320-t36_1-p1	1	1	1	TM35_000471320-t36_1-p1 | transcript=TM35_000471320-t36_1 | gene=TM35_000471320 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000047:72900-73445(-) | protein	1	1	1	1	14.8	14.8	14.8	18.972	182	182	0	11.987	1605000	2				818	366	True	370	445	801;802	801		
TM35_000471340-t36_1-p1	TM35_000471340-t36_1-p1	3	1	1	TM35_000471340-t36_1-p1 | transcript=TM35_000471340-t36_1 | gene=TM35_000471340 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000047:81609-82616(-) | protein	1	3	1	1	19.7	12.5	12.5	35.229	335	335	0	6.7812	1781300	2				819	3629;3979;3989	False;True;False	3698;4050;4060	4565;4979;4991	8739;8740;9485;9486;9517	8739;9485;9517		
TM35_000471350-t36_1-p1	TM35_000471350-t36_1-p1	1	1	1	TM35_000471350-t36_1-p1 | transcript=TM35_000471350-t36_1 | gene=TM35_000471350 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000047:83146-83505(-) | protein	1	1	1	1	28.6	28.6	28.6	12.117	119	119	0	10.867	758840	1				820	2731	True	2787	3417	6459	6459		
TM35_000471390-t36_1-p1	TM35_000471390-t36_1-p1	5	4	4	TM35_000471390-t36_1-p1 | transcript=TM35_000471390-t36_1 | gene=TM35_000471390 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000047:92615-93535(-) | protein	1	5	4	4	31	31	31	31.786	306	306	0	38.996	6744700	11				821	135;1636;2605;3859;3968	False;True;True;True;True	138;1656;2659;3930;4039	173;174;2040;3255;4842;4965;4966	327;328;329;330;3930;3931;3932;6181;6182;6183;9243;9244;9456;9457;9458	329;3932;6182;9244;9456		
TM35_000471410-t36_1-p1	TM35_000471410-t36_1-p1	2	2	2	TM35_000471410-t36_1-p1 | transcript=TM35_000471410-t36_1 | gene=TM35_000471410 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000047:96301-97083(-) | protein	1	2	2	2	20.8	20.8	20.8	25.048	260	260	0	31.926	15754000	12				822	1376;1385	True;True	1395;1404	1718;1719;1729;1730	3258;3259;3260;3261;3262;3286;3287;3288;3289;3290;3291;3292	3260;3286		
TM35_000471420-t36_1-p1;TM35_001161010-t36_1-p1	TM35_000471420-t36_1-p1	8;1	8;1	7;0	TM35_000471420-t36_1-p1 | transcript=TM35_000471420-t36_1 | gene=TM35_000471420 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000047:98317-98937(-) | protein	2	8	8	7	51.7	51.7	47.8	21.244	207	207;262	0	81.096	41186000	36				823	522;749;859;1078;1647;2810;2811;3406	True;True;True;True;True;True;True;True	527;757;868;1092;1667;2866;2867;3471	627;924;1074;1351;2053;2054;3515;3516;3517;4275	1148;1149;1150;1151;1152;1153;1154;1701;1702;1703;1704;1705;2053;2616;2617;2618;2619;3950;3951;3952;3953;3954;6642;6643;6644;6645;6646;6647;6648;6649;6650;6651;6652;6653;6654;8107	1152;1703;2053;2619;3951;6645;6647;8107		
TM35_000471430-t36_1-p1	TM35_000471430-t36_1-p1	2	2	2	TM35_000471430-t36_1-p1 | transcript=TM35_000471430-t36_1 | gene=TM35_000471430 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000047:100466-100876(-) | prote	1	2	2	2	19.7	19.7	19.7	14.336	137	137	0	31.632	1548800	3				824	3297;3663	True;True	3360;3734	4135;4607	7841;8815;8816	7841;8816		
TM35_000471440-t36_1-p1	TM35_000471440-t36_1-p1	5	5	4	TM35_000471440-t36_1-p1 | transcript=TM35_000471440-t36_1 | gene=TM35_000471440 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000047:104201-104809(-) | prote	1	5	5	4	47.8	47.8	39.9	20.079	203	203	0	59.011	5942400	6				825	1497;1582;1669;1712;2932	True;True;True;True;True	1516;1602;1689;1732;2989	1875;1975;2078;2125;3661	3616;3789;4002;4003;4090;6912	3616;3789;4003;4090;6912		
TM35_000471450-t36_1-p1	TM35_000471450-t36_1-p1	2	2	2	TM35_000471450-t36_1-p1 | transcript=TM35_000471450-t36_1 | gene=TM35_000471450 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000047:105865-106932(-) | prote	1	2	2	2	11.8	11.8	11.8	35.773	356	356	0	29.431	4522600	6				826	213;1846	True;True	216;1870	264;2298	491;492;4426;4427;4428;4429	491;4426		
TM35_000471460-t36_1-p1	TM35_000471460-t36_1-p1	3	3	3	TM35_000471460-t36_1-p1 | transcript=TM35_000471460-t36_1 | gene=TM35_000471460 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000047:107658-108698(-) | prote	1	3	3	3	23.4	23.4	23.4	35.411	346	346	0	33.137	6503900	5				827	1621;1944;3359	True;True;True	1641;1970;3423	2021;2420;4216	3884;4680;4681;4682;7977	3884;4682;7977		
TM35_000471480-t36_1-p1;TM35_000511190-t36_1-p1	TM35_000471480-t36_1-p1	4;1	4;1	4;1	TM35_000471480-t36_1-p1 | transcript=TM35_000471480-t36_1 | gene=TM35_000471480 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000047:113673-114617(-) | prote	2	4	4	4	23.2	23.2	23.2	33.82	314	314;206	0	55.028	9964100	9				828	1029;3186;3552;3675	True;True;True;True	1042;3249;3619;3746	1282;3997;4460;4461;4622	2465;7569;7570;7571;8500;8501;8502;8503;8843	2465;7569;8501;8843		
TM35_000471490-t36_1-p1	TM35_000471490-t36_1-p1	3	3	3	TM35_000471490-t36_1-p1 | transcript=TM35_000471490-t36_1 | gene=TM35_000471490 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000047:115994-116773(-) | prote	1	3	3	3	20.8	20.8	20.8	27.449	259	259	0	29.879	3368600	5				829	951;3653;3682	True;True;True	962;3724;3753	1188;4595;4631	2289;8793;8794;8855;8856	2289;8793;8855		
TM35_000471510-t36_1-p1	TM35_000471510-t36_1-p1	4	3	3	TM35_000471510-t36_1-p1 | transcript=TM35_000471510-t36_1 | gene=TM35_000471510 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000047:119356-120225(-) | prote	1	4	3	3	29.4	27	27	30.193	289	289	0	24.244	2627800	8				830	418;471;1562;2457	True;True;True;False	423;476;1582;2508	508;569;1952;1953;3077	921;922;1035;3742;3743;3744;3745;3746;5865	921;1035;3745;5865		
TM35_000471520-t36_1-p1	TM35_000471520-t36_1-p1	8	8	8	TM35_000471520-t36_1-p1 | transcript=TM35_000471520-t36_1 | gene=TM35_000471520 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000047:121479-122435(-) | prote	1	8	8	8	44.3	44.3	44.3	33.222	318	318	0	78.774	10050000	23				831	635;764;1132;1342;1561;2006;3182;3590	True;True;True;True;True;True;True;True	641;772;1147;1361;1581;2033;3245;3657	782;783;784;945;1416;1674;1675;1951;2501;3989;4512	1421;1422;1423;1424;1425;1426;1427;1428;1429;1430;1431;1743;2763;3186;3187;3188;3189;3741;4827;7561;8625;8626;8627	1423;1743;2763;3188;3741;4827;7561;8625		
TM35_000471540-t36_1-p1	TM35_000471540-t36_1-p1	7	7	7	TM35_000471540-t36_1-p1 | transcript=TM35_000471540-t36_1 | gene=TM35_000471540 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000047:124348-125226(-) | prote	1	7	7	7	36	36	36	29.743	292	292	0	80.837	55207000	15				832	903;2001;2093;2094;2252;2466;2558	True;True;True;True;True;True;True	914;2028;2120;2121;2283;2517;2612	1133;2495;2614;2615;2792;3087;3200	2166;4818;5046;5047;5048;5049;5050;5051;5052;5053;5054;5342;5879;6076;6077	2166;4818;5047;5053;5342;5879;6077		
TM35_000471550-t36_1-p1	TM35_000471550-t36_1-p1	2	2	2	TM35_000471550-t36_1-p1 | transcript=TM35_000471550-t36_1 | gene=TM35_000471550 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000047:126079-126651(-) | prote	1	2	2	2	12.6	12.6	12.6	19.678	190	190	0	18.017	1575600	2				833	1080;1162	True;True	1094;1178	1353;1450	2621;2811	2621;2811		
TM35_000471570-t36_1-p1	TM35_000471570-t36_1-p1	2	2	2	TM35_000471570-t36_1-p1 | transcript=TM35_000471570-t36_1 | gene=TM35_000471570 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000047:128524-129282(-) | prote	1	2	2	2	9.1	9.1	9.1	25.761	252	252	0	19.813	4810900	4				834	915;1573	True;True	926;1593	1145;1965	2190;2191;2192;3771	2192;3771		
TM35_000471580-t36_1-p1	TM35_000471580-t36_1-p1	3	3	3	TM35_000471580-t36_1-p1 | transcript=TM35_000471580-t36_1 | gene=TM35_000471580 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000047:129404-130201(-) | prote	1	3	3	3	23.8	23.8	23.8	27.654	265	265	0	33.289	3484400	5				835	158;1194;4008	True;True;True	161;1210;4080	200;1497;5015	372;373;2897;2898;9559	372;2897;9559		
TM35_000471610-t36_1-p1	TM35_000471610-t36_1-p1	2	2	2	TM35_000471610-t36_1-p1 | transcript=TM35_000471610-t36_1 | gene=TM35_000471610 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000047:134581-135765(-) | prote	1	2	2	2	5.6	5.6	5.6	41	394	394	0	12.551	1715900	2				836	2199;3493	True;True	2228;3559	2731;4375	5251;8316	5251;8316		
TM35_000521160-t36_1-p1;TM35_000471620-t36_1-p1	TM35_000521160-t36_1-p1;TM35_000471620-t36_1-p1	3;3	3;3	3;3	TM35_000521160-t36_1-p1 | transcript=TM35_000521160-t36_1 | gene=TM35_000521160 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000052:30123-31040(+) | protein	2	3	3	3	19.7	19.7	19.7	31.681	305	305;312	0	30.025	5891100	6				837	1556;2781;3292	True;True;True	1576;2837;3355	1944;3481;4130	3724;6582;6583;7831;7832;7833	3724;6582;7833		
TM35_000471640-t36_1-p1	TM35_000471640-t36_1-p1	1	1	1	TM35_000471640-t36_1-p1 | transcript=TM35_000471640-t36_1 | gene=TM35_000471640 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000047:140059-141054(-) | prote	1	1	1	1	9.1	9.1	9.1	34.708	331	331	0	7.158	560500	2				838	3660	True	3731	4602	8803;8804	8803		
TM35_000471650-t36_1-p1	TM35_000471650-t36_1-p1	1	1	1	TM35_000471650-t36_1-p1 | transcript=TM35_000471650-t36_1 | gene=TM35_000471650 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000047:141677-142621(-) | prote	1	1	1	1	4.8	4.8	4.8	32.939	314	314	0	18.318	486910	1				839	3647	True	3718	4588	8783	8783		
TM35_000471660-t36_1-p1	TM35_000471660-t36_1-p1	6	4	3	TM35_000471660-t36_1-p1 | transcript=TM35_000471660-t36_1 | gene=TM35_000471660 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000047:144896-146218(-) | prote	1	6	4	3	20.2	16.8	15.2	45.389	440	440	0	39.123	8850100	9				840	1298;2616;2671;3413;3543;3857	False;False;True;True;True;True	1316;2670;2727;3478;3610;3928	1625;3267;3344;4282;4448;4449;4840	3112;3113;6203;6204;6205;6336;8121;8122;8123;8466;8467;8468;9239;9240	3113;6203;6336;8122;8467;9239		
TM35_000471700-t36_1-p1	TM35_000471700-t36_1-p1	4	4	4	TM35_000471700-t36_1-p1 | transcript=TM35_000471700-t36_1 | gene=TM35_000471700 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000047:157688-158632(-) | prote	1	4	4	4	21.7	21.7	21.7	32.426	314	314	0	89.684	11038000	11				841	561;1134;1530;2453	True;True;True;True	566;1149;1549;2504	670;1418;1910;3072	1239;1240;1241;1242;1243;2765;3667;3668;3669;5848;5849	1241;2765;3668;5849		
TM35_000471710-t36_1-p1	TM35_000471710-t36_1-p1	3	3	3	TM35_000471710-t36_1-p1 | transcript=TM35_000471710-t36_1 | gene=TM35_000471710 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000047:159485-160429(-) | prote	1	3	3	3	11.1	11.1	11.1	32.894	314	314	0	18.944	2759600	4				842	1704;2107;3410	True;True;True	1724;2134;3475	2117;2630;4279	4077;4078;5086;8116	4078;5086;8116		
TM35_000471730-t36_1-p1	TM35_000471730-t36_1-p1	1	1	1	TM35_000471730-t36_1-p1 | transcript=TM35_000471730-t36_1 | gene=TM35_000471730 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000047:163150-164079(-) | prote	1	1	1	1	7.4	7.4	7.4	32.579	309	309	0	6.4164	536090	2				843	272	True	276	335	605;606	606		
TM35_000481120-t36_1-p1	TM35_000481120-t36_1-p1	1	1	1	TM35_000481120-t36_1-p1 | transcript=TM35_000481120-t36_1 | gene=TM35_000481120 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=peroxin 14 | transcript_product=peroxin 14 | location=NBCO01000048:19605-20708(+) | protein_length=367 | sequen	1	1	1	1	3.3	3.3	3.3	40.893	367	367	0.0047393	5.9318	439090	1				844	1889	True	1913	2353	4538	4538		
TM35_000481270-t36_1-p1	TM35_000481270-t36_1-p1	1	1	1	TM35_000481270-t36_1-p1 | transcript=TM35_000481270-t36_1 | gene=TM35_000481270 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000048:45704-46153(+) | protein	1	1	1	1	7.4	7.4	7.4	16.464	149	149	0	6.5933	314700	1				845	2550	True	2603	3189	6062	6062		
TM35_000481350-t36_1-p1	TM35_000481350-t36_1-p1	2	2	2	TM35_000481350-t36_1-p1 | transcript=TM35_000481350-t36_1 | gene=TM35_000481350 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=putative NIMA-related kinase | transcript_product=putative NIMA-related kinase | location=NBCO01000048:59466-61	1	2	2	2	4.8	4.8	4.8	90.762	793	793	0	23.074	753790	3				846	1347;3514	True;True	1366;3580	1680;4413	3196;3197;8386	3196;8386		
TM35_000481610-t36_1-p1	TM35_000481610-t36_1-p1	5	5	5	TM35_000481610-t36_1-p1 | transcript=TM35_000481610-t36_1 | gene=TM35_000481610 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000048:131187-132218(+) | prote	1	5	5	5	21.9	21.9	21.9	37.531	343	343	0	66.003	5944500	9				847	544;923;2260;2511;3339	True;True;True;True;True	549;934;2291;2562;3403	651;1156;2800;3140;4186	1205;2217;2218;5360;5361;5362;5363;5969;7927	1205;2217;5361;5969;7927		
TM35_000481620-t36_1-p1	TM35_000481620-t36_1-p1	4	3	3	TM35_000481620-t36_1-p1 | transcript=TM35_000481620-t36_1 | gene=TM35_000481620 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000048:132821-133951(+) | prote	1	4	3	3	10.9	8.5	8.5	41.078	376	376	0	25.332	3252400	8				848	26;1966;2181;3686	False;True;True;True	26;1992;2210;3757	36;2448;2713;4635	73;4723;4724;4725;5220;5221;8860;8861;8862	73;4724;5221;8861		
TM35_000481640-t36_1-p1	TM35_000481640-t36_1-p1	5	5	4	TM35_000481640-t36_1-p1 | transcript=TM35_000481640-t36_1 | gene=TM35_000481640 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000048:136255-137376(+) | prote	1	5	5	4	16.4	16.4	13.9	40.695	373	373	0	63.534	6503800	12				849	26;1305;2338;2732;3723	True;True;True;True;True	26;1323;2370;2788;3794	36;1632;2895;2896;3418;4684	73;3121;5539;5540;5541;5542;6460;6461;8950;8951;8952;8953	73;3121;5539;6460;8951		
TM35_000491370-t36_1-p1	TM35_000491370-t36_1-p1	2	2	2	TM35_000491370-t36_1-p1 | transcript=TM35_000491370-t36_1 | gene=TM35_000491370 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000049:118583-119260(+) | prote	1	2	2	2	10.7	10.7	10.7	25.74	225	225	0	15.5	1607800	2				850	697;2061	True;True	704;2088	864;2572	1595;4967	1595;4967		
TM35_000491400-t36_1-p1	TM35_000491400-t36_1-p1	1	1	1	TM35_000491400-t36_1-p1 | transcript=TM35_000491400-t36_1 | gene=TM35_000491400 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000049:125143-125532(+) | prote	1	1	1	1	14	14	14	14.196	129	129	0	7.1112	2734300	3				851	3560	True	3627	4472;4473	8531;8532;8533	8533		
TM35_000501010-t36_1-p1;TM35_000471690-t36_1-p1	TM35_000501010-t36_1-p1;TM35_000471690-t36_1-p1	2;1	2;1	2;1	TM35_000501010-t36_1-p1 | transcript=TM35_000501010-t36_1 | gene=TM35_000501010 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000050:4079-5062(-) | protein_l	2	2	2	2	11	11	11	33.718	327	327;278	0	19.135	2410100	6				852	2889;3179	True;True	2945;3242	3611;3986	6824;7551;7552;7553;7554;7555	6824;7554		
TM35_000501020-t36_1-p1	TM35_000501020-t36_1-p1	3	3	3	TM35_000501020-t36_1-p1 | transcript=TM35_000501020-t36_1 | gene=TM35_000501020 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000050:6737-7111(-) | protein_l	1	3	3	3	34.4	34.4	34.4	13.541	125	125	0	21.408	2941900	3				853	283;3170;3296	True;True;True	287;3233;3359	348;3975;4134	626;7525;7840	626;7525;7840		
TM35_000501030-t36_1-p1	TM35_000501030-t36_1-p1	4	4	4	TM35_000501030-t36_1-p1 | transcript=TM35_000501030-t36_1 | gene=TM35_000501030 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000050:9544-10425(-) | protein_	1	4	4	4	24.9	24.9	24.9	29.023	293	293	0	31.94	5627300	7				854	960;1599;2702;3790	True;True;True;True	972;1619;2758;3861	1199;1995;1996;3380;4757	2319;2320;3822;3823;3824;6388;9071	2320;3822;6388;9071		
TM35_000501050-t36_1-p1	TM35_000501050-t36_1-p1	2	2	2	TM35_000501050-t36_1-p1 | transcript=TM35_000501050-t36_1 | gene=TM35_000501050 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000050:13358-14257(-) | protein	1	2	2	2	16.7	16.7	16.7	30.473	300	300	0	18.458	1984000	6				855	779;3877	True;True	787;3948	962;963;4863	1789;1790;1791;1792;1793;9284	1790;9284		
TM35_000501060-t36_1-p1	TM35_000501060-t36_1-p1	2	1	1	TM35_000501060-t36_1-p1 | transcript=TM35_000501060-t36_1 | gene=TM35_000501060 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000050:15366-16385(-) | protein	1	2	1	1	7.9	5.6	5.6	33.35	340	340	0	23.384	586130	3				856	775;3748	True;False	783;3819	956;4713	1765;1766;1767;8992;8993;8994;8995	1766;8994		
TM35_000501070-t36_1-p1	TM35_000501070-t36_1-p1	2	2	2	TM35_000501070-t36_1-p1 | transcript=TM35_000501070-t36_1 | gene=TM35_000501070 | organism=Trypanosoma_theileri_isolate_Edinburgh | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=NBCO01000050:17026-17859(-) | protein	1	2	2	2	13	13	13	28.476	277	277	0	21.291	6231500	6				857	2505;3592	True;True	2556;3659	3134;4514;4515	5961;5962;8629;8630;8631;8632	5962;8629		
